date,blood_type,donations,demand,inventory,holiday
2026-07-30,O-,30,45,359,False
2026-07-31,O-,29,30,358,False
2026-08-01,O-,24,20,362,False
2026-08-02,O-,21,28,355,False
2026-08-03,O-,33,31,357,False
2026-08-04,O-,33,34,356,False
2026-08-05,O-,30,35,351,False
2026-08-06,O-,32,35,348,False
2026-08-07,O-,37,38,347,False
2026-08-08,O-,34,25,356,False
2026-08-09,O-,17,30,343,False
2026-08-10,O-,27,32,338,False
2026-08-11,O-,36,28,346,False
2026-08-12,O-,29,31,344,False
2026-08-13,O-,30,33,341,False
2026-08-14,O-,46,32,355,False
2026-08-15,O-,32,29,358,False
2026-08-16,O-,23,30,351,False
2026-08-17,O-,24,39,336,False
2026-08-18,O-,37,38,335,False
2026-08-19,O-,31,39,327,False
2026-08-20,O-,37,21,343,False
2026-08-21,O-,35,24,354,False
2026-08-22,O-,26,23,357,False
2026-08-23,O-,18,22,353,False
2026-08-24,O-,21,28,346,False
2026-08-25,O-,34,31,349,False
2026-08-26,O-,34,26,357,False
2026-08-27,O-,40,36,361,False
2026-08-28,O-,37,31,367,False
2026-08-29,O-,26,23,370,False
2026-08-30,O-,14,22,362,False
2026-08-31,O-,44,30,376,False
2026-09-01,O-,31,32,375,False
2026-09-02,O-,26,33,368,False
2026-09-03,O-,34,24,378,False
2026-09-04,O-,45,25,398,False
2026-09-05,O-,21,26,393,False
2026-09-06,O-,9,27,375,False
2026-09-07,O-,21,42,354,False
2026-09-08,O-,26,38,342,False
2026-09-09,O-,27,29,340,False
2026-09-10,O-,31,37,334,False
2026-09-11,O-,25,37,322,False
2026-09-12,O-,25,27,320,False
2026-09-13,O-,25,29,316,False
2026-09-14,O-,20,50,286,False
2026-09-15,O-,27,48,265,False
2026-09-16,O-,32,43,254,False
2026-09-17,O-,25,35,244,False
2026-09-18,O-,32,44,232,False
2026-09-19,O-,18,31,219,False
2026-09-20,O-,12,29,202,False
2026-09-21,O-,25,43,184,False
2026-03-26,A+,91,80,923,False
2026-03-27,A+,98,72,949,False
2026-03-28,A+,65,59,955,False
2026-03-29,A+,51,54,952,False
2026-03-30,A+,57,102,907,False
2026-03-31,A+,71,103,875,False
2026-04-01,A+,83,78,880,False
2026-04-02,A+,96,90,886,False
2026-04-03,A+,44,76,854,True
2026-04-04,A+,80,68,866,False
2026-04-05,A+,46,68,844,False
2026-04-06,A+,39,74,809,True
2026-04-07,A+,94,76,827,False
2026-04-08,A+,88,85,830,False
2026-04-09,A+,87,120,797,False
2026-04-10,A+,92,69,820,False
2026-04-11,A+,92,63,849,False
2026-04-12,A+,56,71,834,False
2026-04-13,A+,87,72,849,False
2026-04-14,A+,77,91,835,False
2026-04-15,A+,78,80,833,False
2026-04-16,A+,80,94,819,False
2026-04-17,A+,87,74,832,False
2026-04-18,A+,84,60,856,False
2026-04-19,A+,43,56,843,False
2026-04-20,A+,61,84,820,False
2026-04-21,A+,91,106,805,False
2026-04-22,A+,91,73,823,False
2026-04-23,A+,84,88,819,False
2026-04-24,A+,102,82,839,False
2026-04-25,A+,68,57,850,False
2026-04-26,A+,51,62,839,False
2026-04-27,A+,65,81,823,False
2026-04-28,A+,86,95,814,False
2026-04-29,A+,76,83,807,False
2026-04-30,A+,92,88,811,False
2026-05-01,A+,44,77,778,True
2026-05-02,A+,77,41,814,False
2026-05-03,A+,61,61,814,False
2026-05-04,A+,81,82,813,False
2026-05-05,A+,90,90,813,False
2026-05-06,A+,105,79,839,False
2026-05-07,A+,95,73,861,False
2026-05-08,A+,103,149,815,False
2026-05-09,A+,79,51,843,False
2026-05-10,A+,54,56,841,False
2026-05-11,A+,91,73,859,False
2026-05-12,A+,76,82,853,False
2026-05-13,A+,97,81,869,False
2026-05-14,A+,39,71,837,True
2026-05-15,A+,101,74,864,False
2026-05-16,A+,61,56,869,False
2026-05-17,A+,55,52,872,False
2026-05-18,A+,85,83,874,False
2026-05-19,A+,84,74,884,False
2026-05-20,A+,81,79,886,False
2026-05-21,A+,76,125,837,False
2026-05-22,A+,102,82,857,False
2026-05-23,A+,62,59,860,False
2026-05-24,A+,52,58,854,False
2026-05-25,A+,31,89,796,True
2026-05-26,A+,94,82,808,False
2026-05-27,A+,81,96,793,False
2026-05-28,A+,109,98,804,False
2026-05-29,A+,100,66,838,False
2026-05-30,A+,77,61,854,False
2026-05-31,A+,51,56,849,False
2026-06-01,A+,77,78,848,False
2026-06-02,A+,87,91,844,False
2026-06-03,A+,88,73,859,False
2026-06-04,A+,91,82,868,False
2026-06-05,A+,86,87,867,False
2026-06-06,A+,76,56,887,False
2026-06-07,A+,52,61,878,False
2026-06-08,A+,85,84,879,False
2026-06-09,A+,89,65,903,False
2026-06-10,A+,72,76,899,False
2026-06-11,A+,73,83,889,False
2026-06-12,A+,102,94,897,False
2026-06-13,A+,76,64,909,False
2026-06-14,A+,49,68,890,False
2026-06-15,A+,79,78,891,False
2026-06-16,A+,73,91,873,False
2026-06-17,A+,93,80,886,False
2026-06-18,A+,90,70,906,False
2026-06-19,A+,83,70,919,False
2026-06-20,A+,70,75,914,False
2026-06-21,A+,52,56,910,False
2026-06-22,A+,71,91,890,False
2026-06-23,A+,89,91,888,False
2026-06-24,A+,109,79,918,False
2026-06-25,A+,81,85,914,False
2026-06-26,A+,88,78,924,False
2026-06-27,A+,76,62,938,False
2026-06-28,A+,53,49,942,False
2026-06-29,A+,69,91,920,False
2026-06-30,A+,91,79,932,False
2026-07-01,A+,67,89,910,False
2026-07-02,A+,84,62,932,False
2026-07-03,A+,102,75,959,False
2026-07-04,A+,55,66,948,False
2026-07-05,A+,41,57,932,False
2026-07-06,A+,86,87,931,False
2026-07-07,A+,80,88,923,False
2026-07-08,A+,82,80,925,False
2026-07-09,A+,89,74,940,False
2026-07-10,A+,99,73,966,False
2026-07-11,A+,73,51,988,False
2026-07-12,A+,35,51,972,False
2026-07-13,A+,65,81,956,False
2026-07-14,A+,82,68,970,False
2026-07-15,A+,76,93,953,False
2026-07-16,A+,76,70,959,False
2026-07-17,A+,65,90,934,False
2026-07-18,A+,68,74,928,False
2026-07-19,A+,54,61,921,False
2026-07-20,A+,71,86,906,False
2026-07-21,A+,62,72,896,False
2026-07-22,A+,74,88,882,False
2026-07-23,A+,84,92,874,False
2026-07-24,A+,101,66,909,False
2026-07-25,A+,67,65,911,False
2026-07-26,A+,43,60,894,False
2026-07-27,A+,84,77,901,False
2026-07-28,A+,70,100,871,False
2026-07-29,A+,82,80,873,False
2026-07-30,A+,93,64,902,False
2026-07-31,A+,104,76,930,False
2026-08-01,A+,74,50,954,False
2026-08-02,A+,49,62,941,False
2026-08-03,A+,67,79,929,False
2026-08-04,A+,81,81,929,False
2026-08-05,A+,81,60,950,False
2026-08-06,A+,90,81,959,False
2026-08-07,A+,70,67,962,False
2026-08-08,A+,59,53,968,False
2026-08-09,A+,55,61,962,False
2026-08-10,A+,81,92,951,False
2026-08-11,A+,67,84,934,False
2026-08-12,A+,85,59,960,False
2026-08-13,A+,93,81,972,False
2026-08-14,A+,66,68,970,False
2026-08-15,A+,63,50,983,False
2026-08-16,A+,44,56,971,False
2026-08-17,A+,71,86,956,False
2026-08-18,A+,76,79,953,False
2026-08-19,A+,77,93,937,False
2026-08-20,A+,87,95,929,False
2026-08-21,A+,73,77,925,False
2026-08-22,A+,67,69,923,False
2026-08-23,A+,49,66,906,False
2026-08-24,A+,69,90,885,False
2026-08-25,A+,90,88,887,False
2026-08-26,A+,88,90,885,False
2026-08-27,A+,85,85,885,False
2026-08-28,A+,86,83,888,False
2026-08-29,A+,67,75,880,False
2026-08-30,A+,49,54,875,False
2026-08-31,A+,69,115,829,False
2026-09-01,A+,85,78,836,False
2026-09-02,A+,95,72,859,False
2026-09-03,A+,100,82,877,False
2026-09-04,A+,108,85,900,False
2026-09-05,A+,77,65,912,False
2026-09-06,A+,40,73,879,False
2026-09-07,A+,94,77,896,False
2026-09-08,A+,79,79,896,False
2026-09-09,A+,90,88,898,False
2026-09-10,A+,79,84,893,False
2026-09-11,A+,94,95,892,False
2026-09-12,A+,69,58,903,False
2026-09-13,A+,54,71,886,False
2026-09-14,A+,83,94,875,False
2026-09-15,A+,81,76,880,False
2026-09-16,A+,74,85,869,False
2026-09-17,A+,93,78,884,False
2026-09-18,A+,79,87,876,False
2026-09-19,A+,67,64,879,False
2026-09-20,A+,58,60,877,False
2026-09-21,A+,78,91,864,False
2026-03-26,A-,20,15,157,False
2026-03-27,A-,22,19,160,False
2026-03-28,A-,15,15,160,False
2026-03-29,A-,12,21,151,False
2026-03-30,A-,26,18,159,False
2026-03-31,A-,10,18,151,False
2026-04-01,A-,19,17,153,False
2026-04-02,A-,20,23,150,False
2026-04-03,A-,11,22,139,True
2026-04-04,A-,25,20,144,False
2026-04-05,A-,17,12,149,False
2026-04-06,A-,4,18,135,True
2026-04-07,A-,17,18,134,False
2026-04-08,A-,25,19,140,False
2026-04-09,A-,21,23,138,False
2026-04-10,A-,22,19,141,False
2026-04-11,A-,14,15,140,False
2026-04-12,A-,7,11,136,False
2026-04-13,A-,21,23,134,False
2026-04-14,A-,18,19,133,False
2026-04-15,A-,24,20,137,False
2026-04-16,A-,23,16,144,False
2026-04-17,A-,25,16,153,False
2026-04-18,A-,15,13,155,False
2026-04-19,A-,5,16,144,False
2026-04-20,A-,18,22,140,False
2026-04-21,A-,27,31,136,False
2026-04-22,A-,27,25,138,False
2026-04-23,A-,20,22,136,False
2026-04-24,A-,31,8,159,False
2026-04-25,A-,17,15,161,False
2026-04-26,A-,14,18,157,False
2026-04-27,A-,14,29,142,False
2026-04-28,A-,21,12,151,False
2026-04-29,A-,22,24,149,False
2026-04-30,A-,24,23,150,False
2026-05-01,A-,12,24,138,True
2026-05-02,A-,24,15,147,False
2026-05-03,A-,12,13,146,False
2026-05-04,A-,26,23,149,False
2026-05-05,A-,21,18,152,False
2026-05-06,A-,24,24,152,False
2026-05-07,A-,17,20,149,False
2026-05-08,A-,25,15,159,False
2026-05-09,A-,16,22,153,False
2026-05-10,A-,14,19,148,False
2026-05-11,A-,17,16,149,False
2026-05-12,A-,24,18,155,False
2026-05-13,A-,20,15,160,False
2026-05-14,A-,7,16,151,True
2026-05-15,A-,19,16,154,False
2026-05-16,A-,15,12,157,False
2026-05-17,A-,8,12,153,False
2026-05-18,A-,23,19,157,False
2026-05-19,A-,17,27,147,False
2026-05-20,A-,27,20,154,False
2026-05-21,A-,15,23,146,False
2026-05-22,A-,26,16,156,False
2026-05-23,A-,18,16,158,False
2026-05-24,A-,9,9,158,False
2026-05-25,A-,7,21,144,True
2026-05-26,A-,17,21,140,False
2026-05-27,A-,18,21,137,False
2026-05-28,A-,36,32,141,False
2026-05-29,A-,25,22,144,False
2026-05-30,A-,35,19,160,False
2026-05-31,A-,13,17,156,False
2026-06-01,A-,16,18,154,False
2026-06-02,A-,20,26,148,False
2026-06-03,A-,18,21,145,False
2026-06-04,A-,24,14,155,False
2026-06-05,A-,19,27,147,False
2026-06-06,A-,21,17,151,False
2026-06-07,A-,13,15,149,False
2026-06-08,A-,26,24,151,False
2026-06-09,A-,23,21,153,False
2026-06-10,A-,18,33,138,False
2026-06-11,A-,22,17,143,False
2026-06-12,A-,19,11,151,False
2026-06-13,A-,10,9,152,False
2026-06-14,A-,12,21,143,False
2026-06-15,A-,21,24,140,False
2026-06-16,A-,18,25,133,False
2026-06-17,A-,22,20,135,False
2026-06-18,A-,24,13,146,False
2026-06-19,A-,23,27,142,False
2026-06-20,A-,20,16,146,False
2026-06-21,A-,10,20,136,False
2026-06-22,A-,15,15,136,False
2026-06-23,A-,20,24,132,False
2026-06-24,A-,25,39,118,False
2026-06-25,A-,20,15,123,False
2026-06-26,A-,33,20,136,False
2026-06-27,A-,22,24,134,False
2026-06-28,A-,13,20,127,False
2026-06-29,A-,24,18,133,False
2026-06-30,A-,25,19,139,False
2026-07-01,A-,15,16,138,False
2026-07-02,A-,27,11,154,False
2026-07-03,A-,21,17,158,False
2026-07-04,A-,14,19,153,False
2026-07-05,A-,13,22,144,False
2026-07-06,A-,19,18,145,False
2026-07-07,A-,17,19,143,False
2026-07-08,A-,27,19,151,False
2026-07-09,A-,27,35,143,False
2026-07-10,A-,21,22,142,False
2026-07-11,A-,26,16,152,False
2026-07-12,A-,17,18,151,False
2026-07-13,A-,19,24,146,False
2026-07-14,A-,17,20,143,False
2026-07-15,A-,23,20,146,False
2026-07-16,A-,20,25,141,False
2026-07-17,A-,19,16,144,False
2026-07-18,A-,16,17,143,False
2026-07-19,A-,9,11,141,False
2026-07-20,A-,16,17,140,False
2026-07-21,A-,27,23,144,False
2026-07-22,A-,25,25,144,False
2026-07-23,A-,16,27,133,False
2026-07-24,A-,23,26,130,False
2026-07-25,A-,13,15,128,False
2026-07-26,A-,10,10,128,False
2026-07-27,A-,24,22,130,False
2026-07-28,A-,15,23,122,False
2026-07-29,A-,26,28,120,False
2026-07-30,A-,18,15,123,False
2026-07-31,A-,19,15,127,False
2026-08-01,A-,25,19,133,False
2026-08-02,A-,11,9,135,False
2026-08-03,A-,20,21,134,False
2026-08-04,A-,22,24,132,False
2026-08-05,A-,19,21,130,False
2026-08-06,A-,24,22,132,False
2026-08-07,A-,27,12,147,False
2026-08-08,A-,19,17,149,False
2026-08-09,A-,9,13,145,False
2026-08-10,A-,21,31,135,False
2026-08-11,A-,20,21,134,False
2026-08-12,A-,24,18,140,False
2026-08-13,A-,17,22,135,False
2026-08-14,A-,16,23,128,False
2026-08-15,A-,18,14,132,False
2026-08-16,A-,12,18,126,False
2026-08-17,A-,21,20,127,False
2026-08-18,A-,26,21,132,False
2026-08-19,A-,23,24,131,False
2026-08-20,A-,24,32,123,False
2026-08-21,A-,22,25,120,False
2026-08-22,A-,18,19,119,False
2026-08-23,A-,18,15,122,False
2026-08-24,A-,22,30,114,False
2026-08-25,A-,24,23,115,False
2026-08-26,A-,24,24,115,False
2026-08-27,A-,35,25,125,False
2026-08-28,A-,37,19,143,False
2026-08-29,A-,25,12,156,False
2026-08-30,A-,11,10,157,False
2026-08-31,A-,23,17,163,False
2026-09-01,A-,23,25,161,False
2026-09-02,A-,16,20,157,False
2026-09-03,A-,27,26,158,False
2026-09-04,A-,20,22,156,False
2026-09-05,A-,13,19,150,False
2026-09-06,A-,10,12,148,False
2026-09-07,A-,20,12,156,False
2026-09-08,A-,10,32,134,False
2026-09-09,A-,18,24,128,False
2026-09-10,A-,28,23,133,False
2026-09-11,A-,22,21,134,False
2026-09-12,A-,20,14,140,False
2026-09-13,A-,9,21,128,False
2026-09-14,A-,23,17,134,False
2026-09-15,A-,17,17,134,False
2026-09-16,A-,16,17,133,False
2026-09-17,A-,14,27,120,False
2026-09-18,A-,20,24,116,False
2026-09-19,A-,17,17,116,False
2026-09-20,A-,20,16,120,False
2026-09-21,A-,18,27,111,False
2026-03-26,B+,19,19,286,False
2026-03-27,B+,24,17,293,False
2026-03-28,B+,23,13,303,False
2026-03-29,B+,20,26,297,False
2026-03-30,B+,19,26,290,False
2026-03-31,B+,12,23,279,False
2026-04-01,B+,26,32,273,False
2026-04-02,B+,33,27,279,False
2026-04-03,B+,10,17,272,True
2026-04-04,B+,21,22,271,False
2026-04-05,B+,11,16,266,False
2026-04-06,B+,5,29,242,True
2026-04-07,B+,29,17,254,False
2026-04-08,B+,19,16,257,False
2026-04-09,B+,33,24,266,False
2026-04-10,B+,25,24,267,False
2026-04-11,B+,22,24,265,False
2026-04-12,B+,17,13,269,False
2026-04-13,B+,24,23,270,False
2026-04-14,B+,21,25,266,False
2026-04-15,B+,20,33,253,False
2026-04-16,B+,24,22,255,False
2026-04-17,B+,19,16,258,False
2026-04-18,B+,21,15,264,False
2026-04-19,B+,18,18,264,False
2026-04-20,B+,26,37,253,False
2026-04-21,B+,22,23,252,False
2026-04-22,B+,29,23,258,False
2026-04-23,B+,23,28,253,False
2026-04-24,B+,23,24,252,False
2026-04-25,B+,27,25,254,False
2026-04-26,B+,17,13,258,False
2026-04-27,B+,39,18,279,False
2026-04-28,B+,35,20,294,False
2026-04-29,B+,20,15,299,False
2026-04-30,B+,26,22,303,False
2026-05-01,B+,4,29,278,True
2026-05-02,B+,18,13,283,False
2026-05-03,B+,12,20,275,False
2026-05-04,B+,18,21,272,False
2026-05-05,B+,21,26,267,False
2026-05-06,B+,21,20,268,False
2026-05-07,B+,36,28,276,False
2026-05-08,B+,28,19,285,False
2026-05-09,B+,19,17,287,False
